Date,y,Dead,Birth,In,Out
2001,10287325,38455,114764,1198473,1208504
2002,10235315,38925,102008,1231016,1244019
2003,10190690,38068,101227,1221246,1231814
2004,10173624,38274,99828,1108645,1119138
2005,10170253,38751,90468,1161065,1170171
2006,10174255,38519,93922,1278267,1274760
2007,10186938,39016,101249,1257881,1262365
2008,10196769,38298,94736,1212597,1222367
2009,10204565,38790,89594,1136701,1146033
2010,10175960,40130,93266,1058340,1102053
2011,10116242,40320,91526,1028523,1073057
2012,10062309,41514,93914,959944,995023
2013,10012712,42063,84066,937025,971609
2014,9970993,42153,83711,965125,993875
2015,9907155,43053,83005,978123,1032191
2016,9811039,43540,75536,958536,1008507
2017,9724401,42932,65389,948896,977222
2018,9642857,45219,58074,965717,988935
2019,9578975,43829,53673,974176,970308
2020,9533412,45522,47445,1076183,1082959
2021,9453878,48798,45531,999614,1037104
2022,9378610,55296,42602,888184,879362
